Experiment,Sigma,E2,Einf,TPR,PDE
3,29.0,0.09176381268318823,0.09176381268318823,1.0,ζ_t = (-0.91)∇•(ζ𝘂)
3,30.0,0.10048796952989836,0.10048796952989836,1.0,ζ_t = (-0.90)∇•(ζ𝘂)
3,31.0,0.10127654370020489,0.10127654370020489,1.0,ζ_t = (-0.90)∇•(ζ𝘂)
3,32.0,0.1112844283240525,0.1112844283240525,1.0,ζ_t = (-0.89)∇•(ζ𝘂)
3,33.0,0.11966340337911785,0.11966340337911785,1.0,ζ_t = (-0.88)∇•(ζ𝘂)
3,34.0,0.13359569365831925,0.13359569365831925,1.0,ζ_t = (-0.87)∇•(ζ𝘂)
3,35.0,0.14301035392000205,0.14301035392000205,1.0,ζ_t = (-0.86)∇•(ζ𝘂)
3,36.0,0.14974355134679118,0.14974355134679118,1.0,ζ_t = (-0.85)∇•(ζ𝘂)
3,37.0,0.15775229615742947,0.15775229615742947,1.0,ζ_t = (-0.84)∇•(ζ𝘂)
3,38.0,0.17522845161515654,0.17522845161515654,1.0,ζ_t = (-0.82)∇•(ζ𝘂)
3,39.0,0.18413840555651195,0.18413840555651195,1.0,ζ_t = (-0.82)∇•(ζ𝘂)
3,40.0,0.18876350234364703,0.18876350234364703,1.0,ζ_t = (-0.81)∇•(ζ𝘂)
4,1.0,0.003614873729934187,0.003614873729934187,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
4,2.0,0.0035654769982680357,0.0035654769982680357,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
4,3.0,0.003015858530847071,0.003015858530847071,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
4,4.0,0.001964207909229909,0.001964207909229909,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
4,5.0,0.0004740111040113515,0.0004740111040113515,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
4,6.0,0.0002162090404691508,0.0002162090404691508,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
4,7.0,0.0005496985539368282,0.0005496985539368282,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
4,8.0,0.004129063780997533,0.004129063780997533,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
4,9.0,0.006004490226456771,0.006004490226456771,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
4,10.0,0.0052193216839638845,0.0052193216839638845,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
4,11.0,0.010037371578245802,0.010037371578245802,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
4,12.0,0.011040643009160411,0.011040643009160411,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
4,13.0,0.012869484275209842,0.012869484275209842,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
4,14.0,0.01178535995544261,0.01178535995544261,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
4,15.0,0.021467402983518902,0.021467402983518902,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
4,16.0,0.020418030595401482,0.020418030595401482,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
4,17.0,0.02563673466587324,0.02563673466587324,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
4,18.0,0.02970360136532524,0.02970360136532524,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
4,19.0,0.03223100893249142,0.03223100893249142,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
4,20.0,0.03698558011915587,0.03698558011915587,1.0,ζ_t = (-0.96)∇•(ζ𝘂)
4,21.0,0.0421151030594521,0.0421151030594521,1.0,ζ_t = (-0.96)∇•(ζ𝘂)
4,22.0,0.048680365107895085,0.048680365107895085,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
4,23.0,0.054911878558887905,0.054911878558887905,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
4,24.0,0.05721148327206538,0.05721148327206538,1.0,ζ_t = (-0.94)∇•(ζ𝘂)
4,25.0,0.061691062352829396,0.061691062352829396,1.0,ζ_t = (-0.94)∇•(ζ𝘂)
4,26.0,0.06963317427375182,0.06963317427375182,1.0,ζ_t = (-0.93)∇•(ζ𝘂)
4,27.0,0.08050865594594026,0.08050865594594026,1.0,ζ_t = (-0.92)∇•(ζ𝘂)
4,28.0,0.08510039598753616,0.08510039598753616,1.0,ζ_t = (-0.91)∇•(ζ𝘂)
4,29.0,0.09196433528336889,0.09196433528336889,1.0,ζ_t = (-0.91)∇•(ζ𝘂)
4,30.0,0.09771468535931649,0.09771468535931649,1.0,ζ_t = (-0.90)∇•(ζ𝘂)
4,31.0,0.10224314253061684,0.10224314253061684,1.0,ζ_t = (-0.90)∇•(ζ𝘂)
4,32.0,0.1126404652238564,0.1126404652238564,1.0,ζ_t = (-0.89)∇•(ζ𝘂)
4,33.0,0.12148185739914463,0.12148185739914463,1.0,ζ_t = (-0.88)∇•(ζ𝘂)
